VMUE	VMSS
7.26	7.35
1.56	12.95
7.09	10.79
5.35	6.20
18.01	10.68
9.26	10.23
14.55	13.15
8.00	10.40
10.90	10.42
8.56	0.20
11.06	2.46
6.53	8.52
12.25	15.46
8.01	16.12
15.88	23.50
15.81	27.28
10.39	27.32
10.53	23.47
18.14	23.68
11.70	24.02
14.55	22.34
12.93	20.42
12.05	23.68
6.49	27.33
11.46	21.99
11.96	26.45
15.65	33.40
11.51	27.62
12.61	23.10
14.29	26.80
14.69	29.35
10.65	32.26
15.29	34.28
18.48	35.29
10.71	35.86
11.61	27.52
16.96	29.09
13.98	18.19
10.35	16.92
8.93	24.86
7.06	17.96
11.25	18.72
12.16	17.39
10.25	20.36
7.41	22.49
14.64	21.43
11.15	21.08
12.61	21.77
18.01	20.66
19.94	22.83
19.53	27.03
23.15	30.16
26.18	37.99
35.68	35.29
30.79	35.29
33.64	39.22
39.28	39.25
44.71	40.16
36.90	39.12
31.81	47.80
37.35	54.47
34.75	50.56
34.55	59.79
42.84	63.72
41.75	64.86
45.21	67.42
43.73	79.25
42.88	73.92
45.15	66.93
39.04	60.05
36.21	55.50
37.86	50.50
24.41	39.44
12.53	29.43
6.60	25.59
16.28	19.04
24.44	21.65
6.81	16.29
22.44	18.55
30.75	41.87
30.29	29.19
33.89	25.26
21.81	57.95
27.74	35.77
27.10	42.05
26.28	40.31
23.99	31.89
24.95	39.82
23.05	27.62
19.19	35.14
12.66	66.30
14.13	71.74
12.20	41.62
8.74	29.22
14.93	31.22
15.05	29.08
6.40	17.75
10.48	22.40
12.98	13.31
16.95	18.98
15.54	17.12
10.73	17.22
11.83	27.10
10.56	58.45
28.81	65.29
36.53	26.07
17.44	23.21
11.20	27.58
13.30	36.51
14.33	47.01
20.66	51.04
23.28	52.35
23.65	42.85
16.65	43.32
25.35	46.51
28.91	47.87
22.83	54.15
21.48	38.75
27.68	42.34
22.89	39.29
21.13	37.01
18.80	39.56
8.25	42.08
17.50	48.17
31.99	46.09
24.59	49.82
13.63	44.58
21.68	53.47
30.09	52.67
35.25	49.08
27.59	55.54
33.98	50.82
28.46	52.59
35.14	50.63
36.61	49.20
34.08	45.83
36.78	44.40
33.08	40.96
32.00	43.87
30.48	41.86
36.85	42.34
31.24	39.90
25.76	35.12
26.96	24.12
26.48	30.43
19.63	29.16
22.79	30.16
32.63	28.50
44.45	27.01
27.29	25.26
